nr render views, mode, nr vertices, storage, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35
3, 2, 1105005, 0, 22.2205, 14.4097, 13.1018, 15.2048, 17.8321, 32.6603, 33.5016, 19.9091, 15.3549, 11.4499, 16.474, 12.5171, 23.1053, 14.2639, 13.0167, 15.2715, 17.7737, 32.1275, 33.2056, 19.7674, 15.231, 11.3707, 16.3409, 12.5905, 22.8073, 14.3139, 12.902, 15.0854, 17.7728, 32.0573, 33.0064, 19.6603, 15.1777, 11.2202, 16.2605, 12.5196
2, 2, 1105005, 0, 34.561, 22.5594, 21.5627, 22.823, 28.5668, 52.5826, 49.5974, 31.8777, 23.0821, 19.9126, 23.5525, 21.9996, 33.6516, 22.0622, 21.7852, 22.7374, 27.9129, 54.0624, 51.6061, 33.6344, 24.3355, 20.3644, 24.5206, 23.0589, 35.3142, 23.1911, 22.5212, 24.1507, 29.8932, 55.3357, 52.206, 33.1543, 24.3322, 20.4907, 24.8514, 23.1477
1, 2, 1105005, 0, 86.9109, 56.147, 70.8574, 73.0079, 57.713, 95.3215, 117.381, 63.2424, 60.7183, 66.9331, 67.4152, 45.7451, 92.8874, 55.6388, 70.28, 70.7109, 57.8861, 96.0028, 115.842, 63.1895, 60.0403, 66.7561, 66.556, 46.8575, 92.1823, 55.5281, 70.8746, 70.7923, 57.0719, 96.6416, 115.053, 63.2377, 60.0551, 67.2713, 66.9035, 46.1268
3, 2, 1105005, 1, 22.0879, 14.4084, 12.948, 15.144, 17.8451, 31.9033, 32.6594, 19.7143, 15.1479, 11.3477, 16.2527, 12.6046, 23.0183, 14.255, 12.868, 15.2111, 17.6928, 31.7378, 32.8448, 18.7355, 15.0099, 11.3743, 16.3164, 12.6382, 22.98, 14.1879, 12.9311, 14.9598, 17.6933, 31.7672, 32.967, 19.4996, 15.2422, 11.3942, 16.3013, 12.6373
2, 2, 1105005, 1, 33.3549, 23.3607, 22.3445, 24.0131, 29.6324, 56.1005, 52.1083, 33.0925, 24.0941, 20.6851, 24.9114, 22.459, 34.6277, 22.4855, 22.5591, 24.2042, 29.5589, 56.2914, 52.5655, 32.9454, 24.0613, 20.6009, 24.8352, 22.9536, 35.9255, 23.3213, 22.2406, 23.9283, 29.3206, 55.0553, 52.4, 33.3926, 24.1979, 20.5827, 24.621, 22.9803
1, 2, 1105005, 1, 94.2578, 56.8822, 73.3951, 74.7917, 58.2636, 96.6156, 119.965, 63.9497, 61.499, 67.3434, 68.3208, 46.9894, 97.7255, 57.6875, 73.4269, 73.1662, 57.8936, 97.7969, 119.441, 64.5039, 61.3351, 68.5177, 65.7679, 48.0166, 96.6666, 57.1184, 73.1247, 73.9411, 57.9148, 98.0673, 119.125, 64.8314, 61.0385, 68.4487, 67.6858, 47.9633
1, 1, 1105005, 0, 40.0114, 42.9652, 42.9089, 42.713, 42.7924, 42.8036, 42.7551, 42.6914, 42.7818, 42.8346, 42.7355, 42.8138, 42.9573, 42.6537, 42.6394, 42.7569, 42.5371, 42.643, 42.4369, 42.545, 42.3697, 42.6304, 42.4637, 42.4617, 42.6061, 42.2327, 42.4141, 42.4958, 42.1825, 42.2668, 42.2834, 42.2724, 42.243, 42.2852, 42.2354, 42.3867
1, 1, 1105005, 1, 38.1946, 41.3629, 41.4051, 41.3729, 41.1151, 41.3181, 41.2727, 41.1171, 41.178, 41.3207, 41.2079, 41.2423, 41.3168, 41.1345, 41.257, 41.1085, 41.0955, 41.0528, 41.0939, 41.0201, 41.1465, 41.1722, 41.0482, 41.2844, 41.3422, 41.0816, 41.1121, 41.1304, 40.7148, 40.8243, 40.9665, 40.6555, 40.854, 41.0791, 40.9899, 40.9082
3, 3, 1105005, 0, 49.042, 54.4077, 54.3178, 54.1828, 54.4692, 54.1006, 54.4774, 54.2253, 54.2819, 53.8292, 54.4051, 54.4304, 54.7377, 54.3865, 54.035, 53.7504, 53.9834, 54.0588, 54.3775, 53.8259, 53.8536, 53.8559, 54.2961, 54.2036, 54.357, 54.2623, 53.7955, 53.7558, 53.5496, 53.7379, 53.7934, 53.7672, 53.5069, 53.6323, 53.8332, 53.8814
2, 3, 1105005, 0, 72.302, 79.3684, 79.099, 78.5932, 78.4378, 77.909, 78.62, 77.88, 77.8917, 78.0293, 78.5922, 78.6511, 78.7358, 78.9548, 78.1462, 77.8862, 77.7767, 77.7342, 78.158, 77.9374, 77.6725, 77.9726, 78.3571, 78.8153, 78.6568, 78.4325, 77.9812, 77.2293, 77.6959, 77.683, 77.6251, 77.8838, 77.7214, 77.4765, 78.4875, 78.7599
